Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Detroit Droids,Barrie Belgian Waffles,981750527153016903,728437674305781851,1.1,1,1,1.1: Detroit Droids vs Barrie Belgian Waffles,Pending
Ottawa Valley Cool Cats,Barcelona Bobos Prep Academy,334537409134067723,268793849839747074,1.2,1,1,1.2: Ottawa Valley Cool Cats vs Barcelona Bobos Prep Academy,Pending
Vader Voltage - Central,Camrose Cats,775066600062844948,772362024314339329,1.3,1,1,1.3: Vader Voltage - Central vs Camrose Cats,Pending
Yukon Yetis,Baton Rouge Bobos,672979403973853240,851281272290410546,1.4,1,1,1.4: Yukon Yetis vs Baton Rouge Bobos,Pending
Barcelona Bobos Prep Academy,Yukon Yetis,268793849839747074,672979403973853240,1.5,1,2,1.5: Barcelona Bobos Prep Academy vs Yukon Yetis,Pending
Barrie Belgian Waffles,Vader Voltage - Central,728437674305781851,775066600062844948,1.6,1,2,1.6: Barrie Belgian Waffles vs Vader Voltage - Central,Pending
Baton Rouge Bobos,Ottawa Valley Cool Cats,851281272290410546,334537409134067723,1.7,1,2,1.7: Baton Rouge Bobos vs Ottawa Valley Cool Cats,Pending
Camrose Cats,Detroit Droids,772362024314339329,981750527153016903,1.8,1,2,1.8: Camrose Cats vs Detroit Droids,Pending
Barrie Belgian Waffles,Barcelona Bobos Prep Academy,728437674305781851,268793849839747074,2.1,2,3,2.1: Barrie Belgian Waffles vs Barcelona Bobos Prep Academy,Pending
Detroit Droids,Baton Rouge Bobos,981750527153016903,851281272290410546,2.2,2,3,2.2: Detroit Droids vs Baton Rouge Bobos,Pending
Ottawa Valley Cool Cats,Camrose Cats,334537409134067723,772362024314339329,2.3,2,3,2.3: Ottawa Valley Cool Cats vs Camrose Cats,Pending
Yukon Yetis,Vader Voltage - Central,672979403973853240,775066600062844948,2.4,2,3,2.4: Yukon Yetis vs Vader Voltage - Central,Pending
Barcelona Bobos Prep Academy,Detroit Droids,268793849839747074,981750527153016903,2.5,2,4,2.5: Barcelona Bobos Prep Academy vs Detroit Droids,Pending
Baton Rouge Bobos,Barrie Belgian Waffles,851281272290410546,728437674305781851,2.6,2,4,2.6: Baton Rouge Bobos vs Barrie Belgian Waffles,Pending
Camrose Cats,Yukon Yetis,772362024314339329,672979403973853240,2.7,2,4,2.7: Camrose Cats vs Yukon Yetis,Pending
Vader Voltage - Central,Ottawa Valley Cool Cats,775066600062844948,334537409134067723,2.8,2,4,2.8: Vader Voltage - Central vs Ottawa Valley Cool Cats,Pending
Baton Rouge Bobos,Barcelona Bobos Prep Academy,851281272290410546,268793849839747074,2.9,2,5,2.9: Baton Rouge Bobos vs Barcelona Bobos Prep Academy,Pending
Camrose Cats,Barrie Belgian Waffles,772362024314339329,728437674305781851,2.10,2,5,2.10: Camrose Cats vs Barrie Belgian Waffles,Pending
Ottawa Valley Cool Cats,Yukon Yetis,334537409134067723,672979403973853240,2.11,2,5,2.11: Ottawa Valley Cool Cats vs Yukon Yetis,Pending
Vader Voltage - Central,Detroit Droids,775066600062844948,981750527153016903,2.12,2,5,2.12: Vader Voltage - Central vs Detroit Droids,Pending
Barcelona Bobos Prep Academy,Vader Voltage - Central,268793849839747074,775066600062844948,3.1,3,6,3.1: Barcelona Bobos Prep Academy vs Vader Voltage - Central,Pending
Barrie Belgian Waffles,Yukon Yetis,728437674305781851,672979403973853240,3.2,3,6,3.2: Barrie Belgian Waffles vs Yukon Yetis,Pending
Baton Rouge Bobos,Camrose Cats,851281272290410546,772362024314339329,3.3,3,6,3.3: Baton Rouge Bobos vs Camrose Cats,Pending
