Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Boston Shufflebottoms,Vader Vanquishers,829767487003557959,447252603072675843,1.1,1,1,1.1: Boston Shufflebottoms vs Vader Vanquishers,Pending
Farmington Pilot Knobbers,Vader Bounty Hunters,214732779496144896,139938247676657664,1.2,1,1,1.2: Farmington Pilot Knobbers vs Vader Bounty Hunters,Pending
Ottawa Valley Puck Masters,Vader 66ers,396488286639751201,1116178444259164300,1.3,1,1,1.3: Ottawa Valley Puck Masters vs Vader 66ers,Pending
Vader 66ers,Boston Shufflebottoms,1116178444259164300,829767487003557959,1.4,1,2,1.4: Vader 66ers vs Boston Shufflebottoms,Pending
Vader Bounty Hunters,Ottawa Valley Puck Masters,139938247676657664,396488286639751201,1.5,1,2,1.5: Vader Bounty Hunters vs Ottawa Valley Puck Masters,Pending
Vader Vanquishers,Farmington Pilot Knobbers,447252603072675843,214732779496144896,1.6,1,2,1.6: Vader Vanquishers vs Farmington Pilot Knobbers,Pending
Boston Shufflebottoms,Vader Bounty Hunters,829767487003557959,139938247676657664,1.7,1,3,1.7: Boston Shufflebottoms vs Vader Bounty Hunters,Pending
Farmington Pilot Knobbers,Ottawa Valley Puck Masters,214732779496144896,396488286639751201,1.8,1,3,1.8: Farmington Pilot Knobbers vs Ottawa Valley Puck Masters,Pending
Vader Vanquishers,Vader 66ers,447252603072675843,1116178444259164300,1.9,1,3,1.9: Vader Vanquishers vs Vader 66ers,Pending
Farmington Pilot Knobbers,Boston Shufflebottoms,214732779496144896,829767487003557959,2.1,2,4,2.1: Farmington Pilot Knobbers vs Boston Shufflebottoms,Pending
Ottawa Valley Puck Masters,Vader Vanquishers,396488286639751201,447252603072675843,2.2,2,4,2.2: Ottawa Valley Puck Masters vs Vader Vanquishers,Pending
Vader Bounty Hunters,Vader 66ers,139938247676657664,1116178444259164300,2.3,2,4,2.3: Vader Bounty Hunters vs Vader 66ers,Pending
Boston Shufflebottoms,Ottawa Valley Puck Masters,829767487003557959,396488286639751201,2.4,2,5,2.4: Boston Shufflebottoms vs Ottawa Valley Puck Masters,Pending
Vader 66ers,Farmington Pilot Knobbers,1116178444259164300,214732779496144896,2.5,2,5,2.5: Vader 66ers vs Farmington Pilot Knobbers,Pending
Vader Vanquishers,Vader Bounty Hunters,447252603072675843,139938247676657664,2.6,2,5,2.6: Vader Vanquishers vs Vader Bounty Hunters,Pending
Vader 66ers,Ottawa Valley Puck Masters,1116178444259164300,396488286639751201,3.1,3,6,3.1: Vader 66ers vs Ottawa Valley Puck Masters,Pending
Vader Bounty Hunters,Farmington Pilot Knobbers,139938247676657664,214732779496144896,3.2,3,6,3.2: Vader Bounty Hunters vs Farmington Pilot Knobbers,Pending
Vader Vanquishers,Boston Shufflebottoms,447252603072675843,829767487003557959,3.3,3,6,3.3: Vader Vanquishers vs Boston Shufflebottoms,Pending
Boston Shufflebottoms,Vader 66ers,829767487003557959,1116178444259164300,3.4,3,7,3.4: Boston Shufflebottoms vs Vader 66ers,Pending
Farmington Pilot Knobbers,Vader Vanquishers,214732779496144896,447252603072675843,3.5,3,7,3.5: Farmington Pilot Knobbers vs Vader Vanquishers,Pending
Ottawa Valley Puck Masters,Vader Bounty Hunters,396488286639751201,139938247676657664,3.6,3,7,3.6: Ottawa Valley Puck Masters vs Vader Bounty Hunters,Pending
