Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Camden Crooks,Delco Dog Dads,593566495762808842,132907024538271744,1.1,1,1,1.1: Camden Crooks vs Delco Dog Dads,Pending
Seattle Cyclones,Ottawa Valley Post Dingers,712404207042297898,103862145237655552,1.2,1,1,1.2: Seattle Cyclones vs Ottawa Valley Post Dingers,Pending
Vader Wookies,Edmonton Bears,232645440657424386,662288477001613313,1.3,1,1,1.3: Vader Wookies vs Edmonton Bears,Pending
Cold Lake Upper Deckies,Okinawa Generations,449703678585339915,719724468028702750,1.4,1,1,1.4: Cold Lake Upper Deckies vs Okinawa Generations,Pending
Vader Eastern Attackers,Quebec Flare,775066600062844948,663943695493758991,1.5,1,1,1.5: Vader Eastern Attackers vs Quebec Flare,Pending
Vader Stars,Pawnee Post Syrup Intake Authority,1077419089535979681,694776253982572605,1.6,1,1,1.6: Vader Stars vs Pawnee Post Syrup Intake Authority,Pending
Camden Crooks,Vader Stars,593566495762808842,1077419089535979681,1.7,1,2,1.7: Camden Crooks vs Vader Stars,Pending
Okinawa Generations,Delco Dog Dads,719724468028702750,132907024538271744,1.8,1,2,1.8: Okinawa Generations vs Delco Dog Dads,Pending
Pawnee Post Syrup Intake Authority,Edmonton Bears,694776253982572605,662288477001613313,1.9,1,2,1.9: Pawnee Post Syrup Intake Authority vs Edmonton Bears,Pending
Seattle Cyclones,Quebec Flare,712404207042297898,663943695493758991,1.10,1,2,1.10: Seattle Cyclones vs Quebec Flare,Pending
Vader Eastern Attackers,Ottawa Valley Post Dingers,775066600062844948,103862145237655552,1.11,1,2,1.11: Vader Eastern Attackers vs Ottawa Valley Post Dingers,Pending
Vader Wookies,Cold Lake Upper Deckies,232645440657424386,449703678585339915,1.12,1,2,1.12: Vader Wookies vs Cold Lake Upper Deckies,Pending
Delco Dog Dads,Vader Wookies,132907024538271744,232645440657424386,1.13,1,3,1.13: Delco Dog Dads vs Vader Wookies,Pending
Edmonton Bears,Seattle Cyclones,662288477001613313,712404207042297898,1.14,1,3,1.14: Edmonton Bears vs Seattle Cyclones,Pending
Ottawa Valley Post Dingers,Camden Crooks,103862145237655552,593566495762808842,1.15,1,3,1.15: Ottawa Valley Post Dingers vs Camden Crooks,Pending
Okinawa Generations,Vader Stars,719724468028702750,1077419089535979681,1.16,1,3,1.16: Okinawa Generations vs Vader Stars,Pending
Pawnee Post Syrup Intake Authority,Vader Eastern Attackers,694776253982572605,775066600062844948,1.17,1,3,1.17: Pawnee Post Syrup Intake Authority vs Vader Eastern Attackers,Pending
Quebec Flare,Cold Lake Upper Deckies,663943695493758991,449703678585339915,1.18,1,3,1.18: Quebec Flare vs Cold Lake Upper Deckies,Pending
Edmonton Bears,Delco Dog Dads,662288477001613313,132907024538271744,2.1,2,4,2.1: Edmonton Bears vs Delco Dog Dads,Pending
Seattle Cyclones,Camden Crooks,712404207042297898,593566495762808842,2.2,2,4,2.2: Seattle Cyclones vs Camden Crooks,Pending
Vader Wookies,Ottawa Valley Post Dingers,232645440657424386,103862145237655552,2.3,2,4,2.3: Vader Wookies vs Ottawa Valley Post Dingers,Pending
Pawnee Post Syrup Intake Authority,Okinawa Generations,694776253982572605,719724468028702750,2.4,2,4,2.4: Pawnee Post Syrup Intake Authority vs Okinawa Generations,Pending
Vader Eastern Attackers,Cold Lake Upper Deckies,775066600062844948,449703678585339915,2.5,2,4,2.5: Vader Eastern Attackers vs Cold Lake Upper Deckies,Pending
Vader Stars,Quebec Flare,1077419089535979681,663943695493758991,2.6,2,4,2.6: Vader Stars vs Quebec Flare,Pending
Delco Dog Dads,Vader Stars,132907024538271744,1077419089535979681,2.7,2,5,2.7: Delco Dog Dads vs Vader Stars,Pending
Edmonton Bears,Vader Eastern Attackers,662288477001613313,775066600062844948,2.8,2,5,2.8: Edmonton Bears vs Vader Eastern Attackers,Pending
Ottawa Valley Post Dingers,Okinawa Generations,103862145237655552,719724468028702750,2.9,2,5,2.9: Ottawa Valley Post Dingers vs Okinawa Generations,Pending
Pawnee Post Syrup Intake Authority,Vader Wookies,694776253982572605,232645440657424386,2.10,2,5,2.10: Pawnee Post Syrup Intake Authority vs Vader Wookies,Pending
Quebec Flare,Camden Crooks,663943695493758991,593566495762808842,2.11,2,5,2.11: Quebec Flare vs Camden Crooks,Pending
Seattle Cyclones,Cold Lake Upper Deckies,712404207042297898,449703678585339915,2.12,2,5,2.12: Seattle Cyclones vs Cold Lake Upper Deckies,Pending
Camden Crooks,Edmonton Bears,593566495762808842,662288477001613313,2.13,2,6,2.13: Camden Crooks vs Edmonton Bears,Pending
Ottawa Valley Post Dingers,Delco Dog Dads,103862145237655552,132907024538271744,2.14,2,6,2.14: Ottawa Valley Post Dingers vs Delco Dog Dads,Pending
Seattle Cyclones,Vader Wookies,712404207042297898,232645440657424386,2.15,2,6,2.15: Seattle Cyclones vs Vader Wookies,Pending
Cold Lake Upper Deckies,Pawnee Post Syrup Intake Authority,449703678585339915,694776253982572605,2.16,2,6,2.16: Cold Lake Upper Deckies vs Pawnee Post Syrup Intake Authority,Pending
Quebec Flare,Okinawa Generations,663943695493758991,719724468028702750,2.17,2,6,2.17: Quebec Flare vs Okinawa Generations,Pending
