Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Boston Bahds,Barrie Beaver Brigade,829778521106153542,737199113296412852,1.1,1,1,1.1: Boston Bahds vs Barrie Beaver Brigade,Pending
Gary Glizzy Gobblers,Bedford Bobos Preparatory Academy,568523413807955988,246077263286632449,1.2,1,1,1.2: Gary Glizzy Gobblers vs Bedford Bobos Preparatory Academy,Pending
Hagerstown Heroes,Birmingham Bobos,548290255187607553,147892841018818560,1.3,1,1,1.3: Hagerstown Heroes vs Birmingham Bobos,Pending
No Name Nighthawks,Whitby Wombats,231615312896720908,536377451627151360,1.4,1,1,1.4: No Name Nighthawks vs Whitby Wombats,Pending
Vader Whiteout,Vader Starkillers East,701566236114419792,503659339278581792,1.5,1,1,1.5: Vader Whiteout vs Vader Starkillers East,Pending
Barrie Beaver Brigade,Vader Whiteout,737199113296412852,701566236114419792,1.6,1,2,1.6: Barrie Beaver Brigade vs Vader Whiteout,Pending
Bedford Bobos Preparatory Academy,Hagerstown Heroes,246077263286632449,548290255187607553,1.7,1,2,1.7: Bedford Bobos Preparatory Academy vs Hagerstown Heroes,Pending
Birmingham Bobos,Boston Bahds,147892841018818560,829778521106153542,1.8,1,2,1.8: Birmingham Bobos vs Boston Bahds,Pending
Vader Starkillers East,No Name Nighthawks,503659339278581792,231615312896720908,1.9,1,2,1.9: Vader Starkillers East vs No Name Nighthawks,Pending
Whitby Wombats,Gary Glizzy Gobblers,536377451627151360,568523413807955988,1.10,1,2,1.10: Whitby Wombats vs Gary Glizzy Gobblers,Pending
Bedford Bobos Preparatory Academy,Birmingham Bobos,246077263286632449,147892841018818560,1.11,1,3,1.11: Bedford Bobos Preparatory Academy vs Birmingham Bobos,Pending
Gary Glizzy Gobblers,Vader Starkillers East,568523413807955988,503659339278581792,1.12,1,3,1.12: Gary Glizzy Gobblers vs Vader Starkillers East,Pending
Hagerstown Heroes,Whitby Wombats,548290255187607553,536377451627151360,1.13,1,3,1.13: Hagerstown Heroes vs Whitby Wombats,Pending
No Name Nighthawks,Barrie Beaver Brigade,231615312896720908,737199113296412852,1.14,1,3,1.14: No Name Nighthawks vs Barrie Beaver Brigade,Pending
Vader Whiteout,Boston Bahds,701566236114419792,829778521106153542,1.15,1,3,1.15: Vader Whiteout vs Boston Bahds,Pending
Barrie Beaver Brigade,Gary Glizzy Gobblers,737199113296412852,568523413807955988,2.1,2,4,2.1: Barrie Beaver Brigade vs Gary Glizzy Gobblers,Pending
Birmingham Bobos,Vader Whiteout,147892841018818560,701566236114419792,2.2,2,4,2.2: Birmingham Bobos vs Vader Whiteout,Pending
Boston Bahds,No Name Nighthawks,829778521106153542,231615312896720908,2.3,2,4,2.3: Boston Bahds vs No Name Nighthawks,Pending
Vader Starkillers East,Hagerstown Heroes,503659339278581792,548290255187607553,2.4,2,4,2.4: Vader Starkillers East vs Hagerstown Heroes,Pending
Whitby Wombats,Bedford Bobos Preparatory Academy,536377451627151360,246077263286632449,2.5,2,4,2.5: Whitby Wombats vs Bedford Bobos Preparatory Academy,Pending
Bedford Bobos Preparatory Academy,Vader Starkillers East,246077263286632449,503659339278581792,2.6,2,5,2.6: Bedford Bobos Preparatory Academy vs Vader Starkillers East,Pending
Gary Glizzy Gobblers,Boston Bahds,568523413807955988,829778521106153542,2.7,2,5,2.7: Gary Glizzy Gobblers vs Boston Bahds,Pending
Hagerstown Heroes,Barrie Beaver Brigade,548290255187607553,737199113296412852,2.8,2,5,2.8: Hagerstown Heroes vs Barrie Beaver Brigade,Pending
No Name Nighthawks,Vader Whiteout,231615312896720908,701566236114419792,2.9,2,5,2.9: No Name Nighthawks vs Vader Whiteout,Pending
Whitby Wombats,Birmingham Bobos,536377451627151360,147892841018818560,2.10,2,5,2.10: Whitby Wombats vs Birmingham Bobos,Pending
Barrie Beaver Brigade,Bedford Bobos Preparatory Academy,737199113296412852,246077263286632449,2.11,2,6,2.11: Barrie Beaver Brigade vs Bedford Bobos Preparatory Academy,Pending
Birmingham Bobos,No Name Nighthawks,147892841018818560,231615312896720908,2.12,2,6,2.12: Birmingham Bobos vs No Name Nighthawks,Pending
Boston Bahds,Hagerstown Heroes,829778521106153542,548290255187607553,2.13,2,6,2.13: Boston Bahds vs Hagerstown Heroes,Pending
Vader Starkillers East,Whitby Wombats,503659339278581792,536377451627151360,2.14,2,6,2.14: Vader Starkillers East vs Whitby Wombats,Pending
Vader Whiteout,Gary Glizzy Gobblers,701566236114419792,568523413807955988,2.15,2,6,2.15: Vader Whiteout vs Gary Glizzy Gobblers,Pending
Bedford Bobos Preparatory Academy,Boston Bahds,246077263286632449,829778521106153542,3.1,3,7,3.1: Bedford Bobos Preparatory Academy vs Boston Bahds,Pending
Gary Glizzy Gobblers,No Name Nighthawks,568523413807955988,231615312896720908,3.2,3,7,3.2: Gary Glizzy Gobblers vs No Name Nighthawks,Pending
Hagerstown Heroes,Vader Whiteout,548290255187607553,701566236114419792,3.3,3,7,3.3: Hagerstown Heroes vs Vader Whiteout,Pending
Vader Starkillers East,Birmingham Bobos,503659339278581792,147892841018818560,3.4,3,7,3.4: Vader Starkillers East vs Birmingham Bobos,Pending
Whitby Wombats,Barrie Beaver Brigade,536377451627151360,737199113296412852,3.5,3,7,3.5: Whitby Wombats vs Barrie Beaver Brigade,Pending
Barrie Beaver Brigade,Vader Starkillers East,737199113296412852,503659339278581792,3.6,3,8,3.6: Barrie Beaver Brigade vs Vader Starkillers East,Pending
Birmingham Bobos,Gary Glizzy Gobblers,147892841018818560,568523413807955988,3.7,3,8,3.7: Birmingham Bobos vs Gary Glizzy Gobblers,Pending
Boston Bahds,Whitby Wombats,829778521106153542,536377451627151360,3.8,3,8,3.8: Boston Bahds vs Whitby Wombats,Pending
No Name Nighthawks,Hagerstown Heroes,231615312896720908,548290255187607553,3.9,3,8,3.9: No Name Nighthawks vs Hagerstown Heroes,Pending
Vader Whiteout,Bedford Bobos Preparatory Academy,701566236114419792,246077263286632449,3.10,3,8,3.10: Vader Whiteout vs Bedford Bobos Preparatory Academy,Pending
Bedford Bobos Preparatory Academy,No Name Nighthawks,246077263286632449,231615312896720908,3.11,3,9,3.11: Bedford Bobos Preparatory Academy vs No Name Nighthawks,Pending
Birmingham Bobos,Barrie Beaver Brigade,147892841018818560,737199113296412852,3.12,3,9,3.12: Birmingham Bobos vs Barrie Beaver Brigade,Pending
Hagerstown Heroes,Gary Glizzy Gobblers,548290255187607553,568523413807955988,3.13,3,9,3.13: Hagerstown Heroes vs Gary Glizzy Gobblers,Pending
Vader Starkillers East,Boston Bahds,503659339278581792,829778521106153542,3.14,3,9,3.14: Vader Starkillers East vs Boston Bahds,Pending
Whitby Wombats,Vader Whiteout,536377451627151360,701566236114419792,3.15,3,9,3.15: Whitby Wombats vs Vader Whiteout,Pending
Barrie Beaver Brigade,Boston Bahds,737199113296412852,829778521106153542,4.1,4,10,4.1: Barrie Beaver Brigade vs Boston Bahds,Pending
Bedford Bobos Preparatory Academy,Gary Glizzy Gobblers,246077263286632449,568523413807955988,4.2,4,10,4.2: Bedford Bobos Preparatory Academy vs Gary Glizzy Gobblers,Pending
Birmingham Bobos,Hagerstown Heroes,147892841018818560,548290255187607553,4.3,4,10,4.3: Birmingham Bobos vs Hagerstown Heroes,Pending
Vader Starkillers East,Vader Whiteout,503659339278581792,701566236114419792,4.4,4,10,4.4: Vader Starkillers East vs Vader Whiteout,Pending
Whitby Wombats,No Name Nighthawks,536377451627151360,231615312896720908,4.5,4,10,4.5: Whitby Wombats vs No Name Nighthawks,Pending
Boston Bahds,Birmingham Bobos,829778521106153542,147892841018818560,4.6,4,11,4.6: Boston Bahds vs Birmingham Bobos,Pending
Gary Glizzy Gobblers,Whitby Wombats,568523413807955988,536377451627151360,4.7,4,11,4.7: Gary Glizzy Gobblers vs Whitby Wombats,Pending
Hagerstown Heroes,Bedford Bobos Preparatory Academy,548290255187607553,246077263286632449,4.8,4,11,4.8: Hagerstown Heroes vs Bedford Bobos Preparatory Academy,Pending
No Name Nighthawks,Vader Starkillers East,231615312896720908,503659339278581792,4.9,4,11,4.9: No Name Nighthawks vs Vader Starkillers East,Pending
Vader Whiteout,Barrie Beaver Brigade,701566236114419792,737199113296412852,4.10,4,11,4.10: Vader Whiteout vs Barrie Beaver Brigade,Pending
Barrie Beaver Brigade,No Name Nighthawks,737199113296412852,231615312896720908,4.11,4,12,4.11: Barrie Beaver Brigade vs No Name Nighthawks,Pending
