Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Cold Lake Hit Lits,Ottawa Valley Sweatshirt And Friends,449703678585339915,523358507651563524,1.1,1,1,1.1: Cold Lake Hit Lits vs Ottawa Valley Sweatshirt And Friends,Pending
Salem Cats,Jerusalem Golden Bobos,772362024314339329,268793849839747074,1.2,1,1,1.2: Salem Cats vs Jerusalem Golden Bobos,Pending
Vader Vanguard,Vader Gungans,139938247676657664,447252603072675843,1.3,1,1,1.3: Vader Vanguard vs Vader Gungans,Pending
Jerusalem Golden Bobos,Vader Vanguard,268793849839747074,139938247676657664,1.4,1,2,1.4: Jerusalem Golden Bobos vs Vader Vanguard,Pending
Ottawa Valley Sweatshirt And Friends,Salem Cats,523358507651563524,772362024314339329,1.5,1,2,1.5: Ottawa Valley Sweatshirt And Friends vs Salem Cats,Pending
Vader Gungans,Cold Lake Hit Lits,447252603072675843,449703678585339915,1.6,1,2,1.6: Vader Gungans vs Cold Lake Hit Lits,Pending
Cold Lake Hit Lits,Salem Cats,449703678585339915,772362024314339329,1.7,1,3,1.7: Cold Lake Hit Lits vs Salem Cats,Pending
Vader Gungans,Jerusalem Golden Bobos,447252603072675843,268793849839747074,1.8,1,3,1.8: Vader Gungans vs Jerusalem Golden Bobos,Pending
Vader Vanguard,Ottawa Valley Sweatshirt And Friends,139938247676657664,523358507651563524,1.9,1,3,1.9: Vader Vanguard vs Ottawa Valley Sweatshirt And Friends,Pending
Cold Lake Hit Lits,Vader Vanguard,449703678585339915,139938247676657664,2.1,2,4,2.1: Cold Lake Hit Lits vs Vader Vanguard,Pending
Ottawa Valley Sweatshirt And Friends,Jerusalem Golden Bobos,523358507651563524,268793849839747074,2.2,2,4,2.2: Ottawa Valley Sweatshirt And Friends vs Jerusalem Golden Bobos,Pending
Salem Cats,Vader Gungans,772362024314339329,447252603072675843,2.3,2,4,2.3: Salem Cats vs Vader Gungans,Pending
Jerusalem Golden Bobos,Cold Lake Hit Lits,268793849839747074,449703678585339915,2.4,2,5,2.4: Jerusalem Golden Bobos vs Cold Lake Hit Lits,Pending
Vader Gungans,Ottawa Valley Sweatshirt And Friends,447252603072675843,523358507651563524,2.5,2,5,2.5: Vader Gungans vs Ottawa Valley Sweatshirt And Friends,Pending
Vader Vanguard,Salem Cats,139938247676657664,772362024314339329,2.6,2,5,2.6: Vader Vanguard vs Salem Cats,Pending
Jerusalem Golden Bobos,Salem Cats,268793849839747074,772362024314339329,2.7,2,6,2.7: Jerusalem Golden Bobos vs Salem Cats,Pending
