Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Arnold Ashtrays,North Carolina S.A.P,1116178444259164300,746862522619002880,1.1,1,1,1.1: Arnold Ashtrays vs North Carolina S.A.P,Pending
Beauport Lynx,Greensboro Goosans,1370186154640408696,1085012592034066464,1.2,1,1,1.2: Beauport Lynx vs Greensboro Goosans,Pending
Chicago Sky Scrapers,Barrie Ice Hounds,401814913980432385,728437674305781851,1.3,1,1,1.3: Chicago Sky Scrapers vs Barrie Ice Hounds,Pending
Ottawa Valley Slappers With Attitude,Vader Acolytes,334537409134067723,370757850076807178,1.4,1,1,1.4: Ottawa Valley Slappers With Attitude vs Vader Acolytes,Pending
Barrie Ice Hounds,Ottawa Valley Slappers With Attitude,728437674305781851,334537409134067723,1.5,1,2,1.5: Barrie Ice Hounds vs Ottawa Valley Slappers With Attitude,Pending
Greensboro Goosans,Atlanta Aces,1085012592034066464,419649626564722688,1.6,1,2,1.6: Greensboro Goosans vs Atlanta Aces,Pending
North Carolina S.A.P,Beauport Lynx,746862522619002880,1370186154640408696,1.7,1,2,1.7: North Carolina S.A.P vs Beauport Lynx,Pending
Vader Acolytes,Arnold Ashtrays,370757850076807178,1116178444259164300,1.8,1,2,1.8: Vader Acolytes vs Arnold Ashtrays,Pending
Arnold Ashtrays,Barrie Ice Hounds,1116178444259164300,728437674305781851,1.9,1,3,1.9: Arnold Ashtrays vs Barrie Ice Hounds,Pending
Atlanta Aces,North Carolina S.A.P,419649626564722688,746862522619002880,1.10,1,3,1.10: Atlanta Aces vs North Carolina S.A.P,Pending
Beauport Lynx,Vader Acolytes,1370186154640408696,370757850076807178,1.11,1,3,1.11: Beauport Lynx vs Vader Acolytes,Pending
Ottawa Valley Slappers With Attitude,Chicago Sky Scrapers,334537409134067723,401814913980432385,1.12,1,3,1.12: Ottawa Valley Slappers With Attitude vs Chicago Sky Scrapers,Pending
Barrie Ice Hounds,Beauport Lynx,728437674305781851,1370186154640408696,2.1,2,4,2.1: Barrie Ice Hounds vs Beauport Lynx,Pending
Chicago Sky Scrapers,Arnold Ashtrays,401814913980432385,1116178444259164300,2.2,2,4,2.2: Chicago Sky Scrapers vs Arnold Ashtrays,Pending
North Carolina S.A.P,Greensboro Goosans,746862522619002880,1085012592034066464,2.3,2,4,2.3: North Carolina S.A.P vs Greensboro Goosans,Pending
Vader Acolytes,Atlanta Aces,370757850076807178,419649626564722688,2.4,2,4,2.4: Vader Acolytes vs Atlanta Aces,Pending
Arnold Ashtrays,Ottawa Valley Slappers With Attitude,1116178444259164300,334537409134067723,2.5,2,5,2.5: Arnold Ashtrays vs Ottawa Valley Slappers With Attitude,Pending
Atlanta Aces,Barrie Ice Hounds,419649626564722688,728437674305781851,2.6,2,5,2.6: Atlanta Aces vs Barrie Ice Hounds,Pending
Beauport Lynx,Chicago Sky Scrapers,1370186154640408696,401814913980432385,2.7,2,5,2.7: Beauport Lynx vs Chicago Sky Scrapers,Pending
Greensboro Goosans,Vader Acolytes,1085012592034066464,370757850076807178,2.8,2,5,2.8: Greensboro Goosans vs Vader Acolytes,Pending
Barrie Ice Hounds,Greensboro Goosans,728437674305781851,1085012592034066464,2.9,2,6,2.9: Barrie Ice Hounds vs Greensboro Goosans,Pending
Chicago Sky Scrapers,Atlanta Aces,401814913980432385,419649626564722688,2.10,2,6,2.10: Chicago Sky Scrapers vs Atlanta Aces,Pending
Ottawa Valley Slappers With Attitude,Beauport Lynx,334537409134067723,1370186154640408696,2.11,2,6,2.11: Ottawa Valley Slappers With Attitude vs Beauport Lynx,Pending
Vader Acolytes,North Carolina S.A.P,370757850076807178,746862522619002880,2.12,2,6,2.12: Vader Acolytes vs North Carolina S.A.P,Pending
Atlanta Aces,Ottawa Valley Slappers With Attitude,419649626564722688,334537409134067723,3.1,3,7,3.1: Atlanta Aces vs Ottawa Valley Slappers With Attitude,Pending
Beauport Lynx,Arnold Ashtrays,1370186154640408696,1116178444259164300,3.2,3,7,3.2: Beauport Lynx vs Arnold Ashtrays,Pending
Greensboro Goosans,Chicago Sky Scrapers,1085012592034066464,401814913980432385,3.3,3,7,3.3: Greensboro Goosans vs Chicago Sky Scrapers,Pending
North Carolina S.A.P,Barrie Ice Hounds,746862522619002880,728437674305781851,3.4,3,7,3.4: North Carolina S.A.P vs Barrie Ice Hounds,Pending
Arnold Ashtrays,Atlanta Aces,1116178444259164300,419649626564722688,3.5,3,8,3.5: Arnold Ashtrays vs Atlanta Aces,Pending
Barrie Ice Hounds,Vader Acolytes,728437674305781851,370757850076807178,3.6,3,8,3.6: Barrie Ice Hounds vs Vader Acolytes,Pending
Chicago Sky Scrapers,North Carolina S.A.P,401814913980432385,746862522619002880,3.7,3,8,3.7: Chicago Sky Scrapers vs North Carolina S.A.P,Pending
Ottawa Valley Slappers With Attitude,Greensboro Goosans,334537409134067723,1085012592034066464,3.8,3,8,3.8: Ottawa Valley Slappers With Attitude vs Greensboro Goosans,Pending
Atlanta Aces,Beauport Lynx,419649626564722688,1370186154640408696,3.9,3,9,3.9: Atlanta Aces vs Beauport Lynx,Pending
Greensboro Goosans,Arnold Ashtrays,1085012592034066464,1116178444259164300,3.10,3,9,3.10: Greensboro Goosans vs Arnold Ashtrays,Pending
North Carolina S.A.P,Ottawa Valley Slappers With Attitude,746862522619002880,334537409134067723,3.11,3,9,3.11: North Carolina S.A.P vs Ottawa Valley Slappers With Attitude,Pending
Vader Acolytes,Chicago Sky Scrapers,370757850076807178,401814913980432385,3.12,3,9,3.12: Vader Acolytes vs Chicago Sky Scrapers,Pending
Barrie Ice Hounds,Chicago Sky Scrapers,728437674305781851,401814913980432385,4.1,4,10,4.1: Barrie Ice Hounds vs Chicago Sky Scrapers,Pending
Greensboro Goosans,Beauport Lynx,1085012592034066464,1370186154640408696,4.2,4,10,4.2: Greensboro Goosans vs Beauport Lynx,Pending
North Carolina S.A.P,Arnold Ashtrays,746862522619002880,1116178444259164300,4.3,4,10,4.3: North Carolina S.A.P vs Arnold Ashtrays,Pending
Vader Acolytes,Ottawa Valley Slappers With Attitude,370757850076807178,334537409134067723,4.4,4,10,4.4: Vader Acolytes vs Ottawa Valley Slappers With Attitude,Pending
Arnold Ashtrays,Vader Acolytes,1116178444259164300,370757850076807178,4.5,4,11,4.5: Arnold Ashtrays vs Vader Acolytes,Pending
Atlanta Aces,Greensboro Goosans,419649626564722688,1085012592034066464,4.6,4,11,4.6: Atlanta Aces vs Greensboro Goosans,Pending
Beauport Lynx,North Carolina S.A.P,1370186154640408696,746862522619002880,4.7,4,11,4.7: Beauport Lynx vs North Carolina S.A.P,Pending
Ottawa Valley Slappers With Attitude,Barrie Ice Hounds,334537409134067723,728437674305781851,4.8,4,11,4.8: Ottawa Valley Slappers With Attitude vs Barrie Ice Hounds,Pending
Barrie Ice Hounds,Arnold Ashtrays,728437674305781851,1116178444259164300,4.9,4,12,4.9: Barrie Ice Hounds vs Arnold Ashtrays,Pending
Chicago Sky Scrapers,Ottawa Valley Slappers With Attitude,401814913980432385,334537409134067723,4.10,4,12,4.10: Chicago Sky Scrapers vs Ottawa Valley Slappers With Attitude,Pending
North Carolina S.A.P,Atlanta Aces,746862522619002880,419649626564722688,4.11,4,12,4.11: North Carolina S.A.P vs Atlanta Aces,Pending
Vader Acolytes,Beauport Lynx,370757850076807178,1370186154640408696,4.12,4,12,4.12: Vader Acolytes vs Beauport Lynx,Pending
Arnold Ashtrays,Chicago Sky Scrapers,1116178444259164300,401814913980432385,5.1,5,13,5.1: Arnold Ashtrays vs Chicago Sky Scrapers,Pending
Atlanta Aces,Vader Acolytes,419649626564722688,370757850076807178,5.2,5,13,5.2: Atlanta Aces vs Vader Acolytes,Pending
Beauport Lynx,Barrie Ice Hounds,1370186154640408696,728437674305781851,5.3,5,13,5.3: Beauport Lynx vs Barrie Ice Hounds,Pending
Greensboro Goosans,North Carolina S.A.P,1085012592034066464,746862522619002880,5.4,5,13,5.4: Greensboro Goosans vs North Carolina S.A.P,Pending
Barrie Ice Hounds,Atlanta Aces,728437674305781851,419649626564722688,5.5,5,14,5.5: Barrie Ice Hounds vs Atlanta Aces,Pending
