Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Beverly Hills Bobos,Miami Muffins,268793849839747074,981750527153016903,1.1,1,1,1.1: Beverly Hills Bobos vs Miami Muffins,Pending
Champaign Champagne,Yucatan Yetis,394270328496586754,672979403973853240,1.2,1,1,1.2: Champaign Champagne vs Yucatan Yetis,Pending
Long Island Lightning,Pittsburgh Volts,901949665958834216,168851063896539138,1.3,1,1,1.3: Long Island Lightning vs Pittsburgh Volts,Pending
Ottawa Valley Puck Slappers,Boston Bobos,334537409134067723,493582123618271233,1.4,1,1,1.4: Ottawa Valley Puck Slappers vs Boston Bobos,Pending
Vader Voltage Eastern,Barrie Bald Boys,775066600062844948,728437674305781851,1.5,1,1,1.5: Vader Voltage Eastern vs Barrie Bald Boys,Pending
Barrie Bald Boys,Ottawa Valley Puck Slappers,728437674305781851,334537409134067723,1.6,1,2,1.6: Barrie Bald Boys vs Ottawa Valley Puck Slappers,Pending
Long Island Lightning,Champaign Champagne,901949665958834216,394270328496586754,1.7,1,2,1.7: Long Island Lightning vs Champaign Champagne,Pending
Miami Muffins,Vader Voltage Eastern,981750527153016903,775066600062844948,1.8,1,2,1.8: Miami Muffins vs Vader Voltage Eastern,Pending
Pittsburgh Volts,Boston Bobos,168851063896539138,493582123618271233,1.9,1,2,1.9: Pittsburgh Volts vs Boston Bobos,Pending
Yucatan Yetis,Beverly Hills Bobos,672979403973853240,268793849839747074,1.10,1,2,1.10: Yucatan Yetis vs Beverly Hills Bobos,Pending
Beverly Hills Bobos,Long Island Lightning,268793849839747074,901949665958834216,1.11,1,3,1.11: Beverly Hills Bobos vs Long Island Lightning,Pending
Boston Bobos,Barrie Bald Boys,493582123618271233,728437674305781851,1.12,1,3,1.12: Boston Bobos vs Barrie Bald Boys,Pending
Champaign Champagne,Pittsburgh Volts,394270328496586754,168851063896539138,1.13,1,3,1.13: Champaign Champagne vs Pittsburgh Volts,Pending
Ottawa Valley Puck Slappers,Miami Muffins,334537409134067723,981750527153016903,1.14,1,3,1.14: Ottawa Valley Puck Slappers vs Miami Muffins,Pending
Vader Voltage Eastern,Yucatan Yetis,775066600062844948,672979403973853240,1.15,1,3,1.15: Vader Voltage Eastern vs Yucatan Yetis,Pending
Champaign Champagne,Beverly Hills Bobos,394270328496586754,268793849839747074,2.1,2,4,2.1: Champaign Champagne vs Beverly Hills Bobos,Pending
Long Island Lightning,Vader Voltage Eastern,901949665958834216,775066600062844948,2.2,2,4,2.2: Long Island Lightning vs Vader Voltage Eastern,Pending
Miami Muffins,Boston Bobos,981750527153016903,493582123618271233,2.3,2,4,2.3: Miami Muffins vs Boston Bobos,Pending
Pittsburgh Volts,Barrie Bald Boys,168851063896539138,728437674305781851,2.4,2,4,2.4: Pittsburgh Volts vs Barrie Bald Boys,Pending
Yucatan Yetis,Ottawa Valley Puck Slappers,672979403973853240,334537409134067723,2.5,2,4,2.5: Yucatan Yetis vs Ottawa Valley Puck Slappers,Pending
Barrie Bald Boys,Miami Muffins,728437674305781851,981750527153016903,2.6,2,5,2.6: Barrie Bald Boys vs Miami Muffins,Pending
Beverly Hills Bobos,Pittsburgh Volts,268793849839747074,168851063896539138,2.7,2,5,2.7: Beverly Hills Bobos vs Pittsburgh Volts,Pending
Boston Bobos,Yucatan Yetis,493582123618271233,672979403973853240,2.8,2,5,2.8: Boston Bobos vs Yucatan Yetis,Pending
Ottawa Valley Puck Slappers,Long Island Lightning,334537409134067723,901949665958834216,2.9,2,5,2.9: Ottawa Valley Puck Slappers vs Long Island Lightning,Pending
Vader Voltage Eastern,Champaign Champagne,775066600062844948,394270328496586754,2.10,2,5,2.10: Vader Voltage Eastern vs Champaign Champagne,Pending
Beverly Hills Bobos,Vader Voltage Eastern,268793849839747074,775066600062844948,2.11,2,6,2.11: Beverly Hills Bobos vs Vader Voltage Eastern,Pending
Champaign Champagne,Ottawa Valley Puck Slappers,394270328496586754,334537409134067723,2.12,2,6,2.12: Champaign Champagne vs Ottawa Valley Puck Slappers,Pending
