Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[OKG],Papa Shieldz,Athens Alphas (AA),Assists,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[AA],kiahn.,Athens Alphas (AA),Assists,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[AA],qjared,Athens Alphas (AA),Assists,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[NJM],superkai64,New Jersey Minutemen (NJM),Assists,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[MAL],Johnboi,New Jersey Minutemen (NJM),Assists,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),Ehlasteer,Lasteer,New Jersey Minutemen (NJM),Assists,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[AA],qjared,Athens Alphas (AA),Goals,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),Ehlasteer,Lasteer,New Jersey Minutemen (NJM),Goals,2.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[NJM],superkai64,New Jersey Minutemen (NJM),Goals,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[MAL],Johnboi,New Jersey Minutemen (NJM),Goals,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[AA],kiahn.,Athens Alphas (AA),Goals,2.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Athens Alphas (AA),New Jersey Minutemen (NJM),[OKG],Papa Shieldz,Athens Alphas (AA),Goals,0.00,
