Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[CC],PooBallz,Tokyo Ghoulz (TTG),Assists,4.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[TKG],Snorlaxatives,Tokyo Ghoulz (TTG),Assists,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[OKL],Hoodie,Tokyo Ghoulz (TTG),Assists,1.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],SimpMurray,Buffalo Golden Spuds (BGS),Assists,2.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],Double Sourcow,Buffalo Golden Spuds (BGS),Assists,2.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],wackypotatoguy,Buffalo Golden Spuds (BGS),Assists,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[CC],PooBallz,Tokyo Ghoulz (TTG),Goals,4.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],Double Sourcow,Buffalo Golden Spuds (BGS),Goals,2.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],wackypotatoguy,Buffalo Golden Spuds (BGS),Goals,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[OKL],Hoodie,Tokyo Ghoulz (TTG),Goals,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[TKG],Snorlaxatives,Tokyo Ghoulz (TTG),Goals,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],SimpMurray,Buffalo Golden Spuds (BGS),Goals,1.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],SimpMurray,Buffalo Golden Spuds (BGS),Saves,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],Double Sourcow,Buffalo Golden Spuds (BGS),Saves,7.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[CC],PooBallz,Tokyo Ghoulz (TTG),Saves,1.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[OKL],Hoodie,Tokyo Ghoulz (TTG),Saves,5.00,
Open Division,Wed 06 May 2020 08:00 PM,Buffalo Golden Spuds (BGS),Tokyo Ghoulz (TTG),[BGS],wackypotatoguy,Buffalo Golden Spuds (BGS),Saves,4.00,
