Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],PooBallz,Canada Camels (CC),Assists,1.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],wackypotatoguy,Buffalo Golden Spuds (BGS),Assists,0.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],Endrick,Canada Camels (CC),Assists,1.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],Double Sourcow,Buffalo Golden Spuds (BGS),Assists,1.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],Kuznetzoffzky,Canada Camels (CC),Assists,0.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],SimpMurray,Buffalo Golden Spuds (BGS),Assists,2.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],PooBallz,Canada Camels (CC),Goals,1.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],wackypotatoguy,Buffalo Golden Spuds (BGS),Goals,3.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],SimpMurray,Buffalo Golden Spuds (BGS),Goals,0.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],Endrick,Canada Camels (CC),Goals,2.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],Kuznetzoffzky,Canada Camels (CC),Goals,2.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],Double Sourcow,Buffalo Golden Spuds (BGS),Goals,1.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[BGS],SimpMurray,Buffalo Golden Spuds (BGS),Saves,3.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],Kuznetzoffzky,Canada Camels (CC),Saves,3.00,
Open Division,Wed 08 Jul 2020 08:00 PM,Canada Camels (CC),Buffalo Golden Spuds (BGS),[CC],Endrick,Canada Camels (CC),Saves,1.00,
