Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Panarin,Columbus Clappers (CLP),Assists,3.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Assists,0.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Assists,1.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Dream,Columbus Clappers (CLP),Assists,4.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[NEH],Reno,Miami Vice (MIA),Assists,2.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],meatsale,Columbus Clappers (CLP),Assists,4.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],meatsale,Columbus Clappers (CLP),Goals,6.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Goals,2.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Panarin,Columbus Clappers (CLP),Goals,5.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Dream,Columbus Clappers (CLP),Goals,3.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Goals,1.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[NEH],Reno,Miami Vice (MIA),Goals,1.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Saves,2.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Dream,Columbus Clappers (CLP),Saves,2.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],meatsale,Columbus Clappers (CLP),Saves,1.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Saves,0.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[NEH],Reno,Miami Vice (MIA),Saves,8.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Panarin,Columbus Clappers (CLP),Saves,2.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Dream,Columbus Clappers (CLP),Shots,4.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Shots,2.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],meatsale,Columbus Clappers (CLP),Shots,12.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[NEH],Reno,Miami Vice (MIA),Shots,3.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Shots,4.00,
Pro Division,Wed 19 Feb 2020 09:00 PM,Columbus Clappers (CLP),Miami Vice (MIA),[CLP],Panarin,Columbus Clappers (CLP),Shots,8.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Dream,Columbus Clappers (CLP),Assists,2.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],TheLuigi,Honolulu Hootenannys (HUH),Assists,0.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Panarin,Columbus Clappers (CLP),Assists,2.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[BRB],EpicMan67,Honolulu Hootenannys (HUH),Assists,0.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],FatLeft,Honolulu Hootenannys (HUH),Assists,0.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],meatsale,Columbus Clappers (CLP),Assists,0.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Panarin,Columbus Clappers (CLP),Goals,1.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Dream,Columbus Clappers (CLP),Goals,1.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],TheLuigi,Honolulu Hootenannys (HUH),Goals,2.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[BRB],EpicMan67,Honolulu Hootenannys (HUH),Goals,0.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],meatsale,Columbus Clappers (CLP),Goals,4.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],FatLeft,Honolulu Hootenannys (HUH),Goals,2.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],meatsale,Columbus Clappers (CLP),Saves,1.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Dream,Columbus Clappers (CLP),Saves,2.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Panarin,Columbus Clappers (CLP),Saves,1.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],FatLeft,Honolulu Hootenannys (HUH),Saves,3.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[BRB],EpicMan67,Honolulu Hootenannys (HUH),Saves,10.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],TheLuigi,Honolulu Hootenannys (HUH),Saves,0.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Panarin,Columbus Clappers (CLP),Shots,5.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],TheLuigi,Honolulu Hootenannys (HUH),Shots,4.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],meatsale,Columbus Clappers (CLP),Shots,10.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[HUH],FatLeft,Honolulu Hootenannys (HUH),Shots,3.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[BRB],EpicMan67,Honolulu Hootenannys (HUH),Shots,1.00,
Pro Division,Wed 19 Feb 2020 09:30 PM,Honolulu Hootenannys (HUH),Columbus Clappers (CLP),[CLP],Dream,Columbus Clappers (CLP),Shots,4.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[POP],TheC0ckyWalrus,Richmond Rats (RR),Assists,0.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[RR],Rath,Miami Vice (MIA),Assists,2.00,
Pro Division,Wed 19 Feb 2020 10:00 PM,Miami Vice (MIA),Richmond Rats (RR),[NEH],Reno,Miami Vice (MIA),Assists,1.00,
