MATCHID	Home Team	Away Team
E1	Champaign Champagne	Yucatán Yetis
E2	Champaign Champagne	Long Island Lightning
E3	Yucatán Yetis	Long Island Lightning
E4	Pittsburgh Volts	Beverly Hills Bobos
E5	Pittsburgh Volts	Ottawa Valley Puck Slappers
E6	Pittsburgh Volts	Barrie Bald Boys
E7	Beverly Hills Bobos	Ottawa Valley Puck Slappers
E8	Beverly Hills Bobos	Barrie Bald Boys
E9	Ottawa Valley Puck Slappers	Barrie Bald Boys
E10	Vader Voltage	Cold Lake Upper Deckies
E11	Vader Voltage	Miami Muffins
E12	Vader Voltage	Boston Bobos
E13	Cold Lake Upper Deckies	Miami Muffins
E14	Cold Lake Upper Deckies	Boston Bobos
E15	Miami Muffins	Boston Bobos
E16	Quebec Flare	Ottawa Valley Post Dingers
E17	Quebec Flare	Vader Eastern Attackers 
E18	Ottawa Valley Post Dingers	Vader Eastern Attackers 
E19	Okinawa Generations	Hagerstown Heroes
E20	Okinawa Generations	Edmonton Bears
E21	Hagerstown Heroes	Edmonton Bears
E22	Delco Dog Dads	Vader Stars
E23	Delco Dog Dads	Camden Crook$
E24	Vader Stars	Camden Crook$
E25	Seattle Cyclones	Pawnee Post Syrup Intake Authority
E26	Seattle Cyclones	Vader Wookies
E27	Seattle Cyclones	Gary Glizzy Gobblers
E28	Pawnee Post Syrup Intake Authority	Vader Wookies
E29	Pawnee Post Syrup Intake Authority	Gary Glizzy Gobblers
E30	Vader Wookies	Gary Glizzy Gobblers
E31	Vader Whiteout	No Name Nighthawks
E32	Vader Whiteout	Boston Bahds
E33	No Name Nighthawks	Boston Bahds
E34	Whitby Wombats	Bedford Bobos Preparatory Academy 
E35	Whitby Wombats	Barrie Beaver Brigade
E36	Bedford Bobos Preparatory Academy 	Barrie Beaver Brigade
E37	Vader Starkillers East	Birmingham Bobos
E38	Vader Starkillers East	Greensboro Goosans
E39	Birmingham Bobos	Greensboro Goosans
E40	Chicago Sky Scrapers	Vader Acolytes 
E41	Chicago Sky Scrapers	Beauport Lynx
E42	Vader Acolytes 	Beauport Lynx
E43	Ottawa Valley Slappers With Attitude	Atlanta Aces
E44	Ottawa Valley Slappers With Attitude	North Carolina S.A.P
E45	Atlanta Aces	North Carolina S.A.P
E46	Barrie Ice Hounds	Arnold Ashtrays
C1	Camrose Cats	Yukon Yetis
C2	Camrose Cats	Barcelona Bobos Prep Academy
C3	Yukon Yetis	Barcelona Bobos Prep Academy
C4	Detroit Droids	Ottawa Valley Cool Cats
C5	Detroit Droids	Vader Voltage - Central
C6	Ottawa Valley Cool Cats	Vader Voltage - Central
C7	Barrie Belgian Waffles	Vader Saboteurs
C8	Barrie Belgian Waffles	Barrie Bag Chasers
C9	Vader Saboteurs	Barrie Bag Chasers
C10	Brampton Cows	Battle Creek Kings
C11	Brampton Cows	Farmington Pilot Knobbers
C12	Battle Creek Kings	Farmington Pilot Knobbers
C13	Atlantic City Zootiez$	Vader Inquisitors
C14	Atlantic City Zootiez$	Windy City Walruses
C15	Vader Inquisitors	Windy City Walruses
C16	Vader Starkillers Central	Baton Rouge Bobos
C17	Vader Starkillers Central	Vader Revanites
C18	Baton Rouge Bobos	Vader Revanites
C19	Lakeshore Loons	USHL Prospects
C20	Lakeshore Loons	Ottawa Valley Bass Slappers
C21	USHL Prospects	Ottawa Valley Bass Slappers
C22	Ottawa Valley Puck Masters	Vader Bounty Hunters
C23	Ottawa Valley Puck Masters	Boston Shufflebottoms
C24	Vader Bounty Hunters	Boston Shufflebottoms
C25	Vader 66ers	Vader Vanquishers
W1	Vader Gungans	Ottawa Valley Sweatshirt And Friends
W2	Vader Gungans	Vader Vanguard
W3	Ottawa Valley Sweatshirt And Friends	Vader Vanguard
W4	Cold Lake Hit Lits	Salem Cats
W5	Cold Lake Hit Lits	Jerusalem Golden Bobos
W6	Salem Cats	Jerusalem Golden Bobos
