Timestamp,Your Discord Tag,Which Region are you signing up for?,Team Name,Team Abbreviation,Team Venue,Team Logo ,Will your team be using a General Manager (GM) ?,General Manager - Discord Tag,General Manager - Steam Name,General Manager - Slap ID,Captain - Discord Tag,Captain - Steam Name,Captain - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Pick one
6/9/2026 13:03:47,dxmxnz,Main Slapshot League (East),Boston Bahds,BAHD,Nilbog Lane,https://drive.google.com/open?id=124zq-n1q62UoNuNP9BT9fCv5rfpnHz9N,No,,,,dxmxnz,dxmxnz,1310489,,,,Sylat00n,Sylat00n,1313906,Ademy24,Ademy24,710101,dvyr,dvyr,352226,napqleon,napqleon,1314476,Sydney Sweeney
6/9/2026 13:31:32,cookiecakes,Main Slapshot League (East),Hagerstown Heroes,HHRS,Frost Frontier,https://drive.google.com/open?id=1IlI157cCSgLWHLdk0Rrkh8BZihr56u33,No,,,,cookiecakes,Awlden,890370,,,,flicktac,The Real Teddy Blueger,848840,yuvmid,Yuvraj,849146,cavitee,cavitee,883507,Andriulous,Andriulous,2017598,Ninajirachi
6/10/2026 12:01:56,noahk33,Main Slapshot League (East),Pittsburgh Volts,PIT,Console Energy Center,https://drive.google.com/open?id=1B681SSVS0HrKDnBcMhqXU83urz5eD4Fz,No,,,,noahk33,Noah,678,,,,.joeo,AboveAverageJoe,57885,connor04963,9th Coming of Jesus,47785,meno_menoson,Meow,148141,buf215,Buf,352018,Ella Langley
6/10/2026 14:51:08,Napa0,Main Slapshot League (East),No Name Nighthawks,NNN,No Name Arena,https://drive.google.com/open?id=120YGY2Nn-VP5Epupf8onLQrn9_7MgIud,No,,,,Napa0,Napa0,296477,,,,hammertime9000,HammerTime9000,1238207,noobweps,Noob_Weapons,87,joemer,JoeMer,67383,victon21_63341,Victon22,1502807,Vinegar and Salt
6/10/2026 22:22:27,papashieldz,Main Slapshot League (East),Okinawa Generations,OKG,The Habu Pit,,No,,,,papashieldz,[OKG] papa shieldz,503,,,,lessthanden,LessThanDennis,513,raspmalted7,[OKG]Pip Starlather,197140,grey1414,[OKG]Grey,1420,renard_,Renard_,212,Margot Robbie
6/10/2026 23:34:26,chipisbetterthenyou,Central Slapshot League,USHL Prospects,USHL,the ice cream bowl,,No,,,,chipisbetterthenyou,BH,1247602,,,,hungrysebik,huungrysebik,812156,bigdaddyadam669,Behimeth,263074,bigboybigboyolbbpp,camyg110,2020493,Rixsnn,een,1213271,Jenna Ortega
6/11/2026 8:39:44,[LOON] West,Central Slapshot League,Lakeshore Loons,LOON,The Loony Bin,https://drive.google.com/open?id=1Stnx0dFMY7uAFzAk502ZPW3gwsaKnKEk,No,,,,[LOON] West,West,1450864,,,,[LOON] Jot,Jot,1452681,Frosty,frosty,1450531,Rocker,Rocker`,1450474,,,,
6/11/2026 14:02:11,Galalendon,Central Slapshot League,Vader Inquisitors,VADI,Mustafar Palace,https://drive.google.com/open?id=1oLxIg2wpoVgq1Rb04mRBTex28OwPHsjQ,No,,,,Galalendon,Galalendon,249493,,,,Filip Chytil Stan,Filip Chytil Stan,184180,Ghostwalker,Ghostwalker,1439105,Akakattack,Akakattack,1689859,Teddy Bluegar,Teddy Bluegar,848840,Jenna Ortega
6/11/2026 14:10:48,Galalendon,West Slapshot League,Vader Gungans,VADG,Bigger Fish Arena,https://drive.google.com/open?id=1SRWS5j7gVm3suptp-JKdQm4fpWHx5FG1,No,,,,Galalendon,Galalendon,249493,,,,Filip Chytil Stan,Filip Chytil Stan,184180,Meenimizer,Meenimizer,439532,oFlick,Flc,327512,Kajun,Kajun,19508,Aubrey Plaza
6/11/2026 18:50:33,LilPrecip,Central Slapshot League,Windy City Walruses,WCW,Ice Bear Arena,https://drive.google.com/open?id=1ChFP0AWU54oRZmG9JyB3sFdBiwKIgTHq,No,,,,LilPrecip,LilPrecip,1005605,,,,Jakethegreat3,plsstankrate,1005628,ponchdropper,MyRickFellOff,1005594,jkpumo5,Ranchero,1713654,potatoesunited,Potato,1277002,Anne Hathaway
